ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,2019_sale
36,Virginia-Chesterfield,11500 Midlothian Turnpike,23235,102801,1.0,1.0,1.0,628888,5505,7401,5239,2162,644,2721,3365,-22,35.08641608,28.85879361,6.227622474,2.644508549,4.356384632,7.000893181,11842983.0
37,Pennsylvania-Coraopolis,2000 Casteel Dr,15108,42003,1.0,1.0,1.0,1216045,-1236,12668,13695,-1027,2392,-2543,-151,-58,10.41208617,11.25619831,-0.844112133,1.966033322,-2.090143285,-0.124109963,13235953.0
38,Ohio-Niles,5555 Youngstown-Warren Rd,44446,39155,1.0,1.0,1.0,197974,-565,2039,2477,-438,-17,-98,-115,-12,10.28465649,12.49391571,-2.209259217,-0.085747504,-0.49430914,-0.580056644,6333392.0
39,Ohio-Mentor,7980 Plaza Blvd,44060,78140,1.0,1.0,1.0,2026091,8131,20816,19353,1463,1358,5241,6599,69,127.8170548,137.3538131,-9.536758263,2.651407456,5.254289015,7.905696464,
40,Ohio-North Canton,4932 Portage St NW,44720,78304,1.0,1.0,1.0,1021606,-13,11070,10364,706,827,-1510,-683,-36,66.85710421,49.27182138,17.58528285,8.872291455,-11.37970577,-2.50741432,
41,Ohio-Elyria,5223 Cobblestone Rd,44035,39093,1.0,1.0,1.0,309833,781,3175,3093,82,108,612,720,-21,10.26038763,9.995394944,0.264992689,0.34901476,1.977750309,2.326765069,11597896.0
42,North Carolina-Raleigh,4700 Green Rd - Corner of Capital & Millbrook,27604,37183,1.0,1.0,1.0,1111761,20488,12634,6210,6424,3165,10857,14022,42,11.46963687,5.637679672999999,5.831957201,2.8733101710000004,9.856407119,12.72971729,15804605.0
43,Michigan-Roseville,32123 Gratiot Ave.,48066,26099,1.0,1.0,1.0,873972,1177,9132,8548,584,1281,-653,628,-35,10.45588794,9.787224055,0.66866388,1.466709641,-0.747666976,0.7190426659999999,8481800.0
44,Michigan-Utica,45160 Utica Park Blvd,48315,26099,1.0,1.0,1.0,873972,1177,9132,8548,584,1281,-653,628,-35,10.45588794,9.787224055,0.66866388,1.466709641,-0.747666976,0.7190426659999999,10212456.0
45,North Carolina-Durham,4215 University Dr,27707,74198,1.0,1.0,1.0,5593033,19927,65697,38190,27507,15485,-23011,-7526,-54,103.9477464,75.79259871,28.15514773,16.43717954,5.446309113,21.88348866,9341008.0
46,Michigan-Troy,200 W 14 Mile Rd,48083,26125,1.0,1.0,1.0,1257584,890,13042,10978,2064,3617,-4781,-1164,-10,10.37435001,8.732526793,1.6418232190000002,2.877167919,-3.80307985,-0.925911932,
47,Michigan-Bloomfield Hills,2101 S Telegraph Rd,48302,26125,1.0,1.0,1.0,1257584,890,13042,10978,2064,3617,-4781,-1164,-10,10.37435001,8.732526793,1.6418232190000002,2.877167919,-3.80307985,-0.925911932,
48,Ohio-Columbus,6060 E Main St,43213,39049,1.0,1.0,1.0,2306386,13639,29559,19844,9715,4041,-37,4004,-80,268.6144254,243.8807443,24.73368118,10.67353052,60.98589884,71.65942935,
49,Michigan-Wixom,10800 Assembly Park Dr,48393,26125,1.0,1.0,1.0,1257584,890,13042,10978,2064,3617,-4781,-1164,-10,10.37435001,8.732526793,1.6418232190000002,2.877167919,-3.80307985,-0.925911932,13162393.0
50,Ohio-Columbus-North,1160 Gemini Pl,43240,39041,1.0,1.0,1.0,994214,5174,10662,9281,1381,1676,2139,3815,-22,60.29550727,63.34603142,-3.050524139,5.719863478,9.982322636000001,15.70218612,11424463.0
51,North Carolina-Greensboro,6103 Landmark Center Blvd,27407,37081,1.0,1.0,1.0,537174,4567,6111,4602,1509,1132,1947,3079,-21,11.42476825,8.603630089,2.821138158,2.116321004,3.639997345,5.756318349,12846492.0
52,Ypsilanti,3100 Washtenaw Ave,48197,26161,1.0,1.0,1.0,367601,-1882,3473,2448,1025,1160,-4098,-2938,31,9.423620646,6.642390827000001,2.7812298189999995,3.147538137,-11.11949249,-7.97195435,5757900.0
53,Ohio-Hilliard,3599 Park Mill Run Dr,43026,78146,1.0,1.0,1.0,3711026,21618,45676,33532,12144,4702,4857,9559,-85,488.0320650000001,431.0094291,57.02263589,19.6615512,96.35229369,116.0138449,12610677.0
54,Ohio-Toledo,2244 S Reynolds Rd,43614,39095,1.0,1.0,,436948,-1281,5416,4652,764,180,-2229,-2049,4,26.05760836,21.20314463,4.854463732,0.19193369,-9.977038536,-9.785104845,7539740.0
55,Michigan-Saginaw,5417 Bay Rd,48604,52162,1.0,1.0,,468370,-12363,5391,5290,101,397,-12885,-12488,24,33.27389298,33.48051395,-0.206620973,2.142110665,-72.85669725,-70.71458658,6850123.0
56,Ohio-Huber Heights,8221 Troy Pike,45424,117279,1.0,1.0,1.0,4778494,30922,55252,41272,13980,10092,6867,16959,-17,386.7661162,372.287442,14.47867422,25.95050125,-19.21194779,6.738553436,
57,Ohio-Beavercreek,4480 Indian Ripple Road,45440,78170,1.0,1.0,1.0,4601754,29607,53327,39564,13763,10011,5843,15854,-10,353.7302561,343.5490838,10.18117235,24.46299709,-33.40384751,-8.940850425,7570827.0
58,North Carolina-Concord,7965 Lyles Ln NW,28027,37025,1.0,1.0,1.0,216453,4856,2600,1688,912,185,3756,3941,3,12.14811354,7.886929097,4.261184441,0.864385002,17.54935171,18.41373671,11728960.0
59,North Carolina-Charlotte Mecklenburg,900 Metropolitan Avenue,28204,37119,,,,1140943,16569,15048,7365,7683,4333,4518,8851,35,23.56565386,21.99441946,1.571234404,3.868219891,8.41986105,12.28808094,
60,Ohio-Loveland,9570 Fields Ertel Rd,45140,117251,1.0,1.0,1.0,2631704,19032,30597,23764,6833,2858,9384,12242,-43,271.0098347,257.4734337,13.53640091,18.09695396,17.51089384,35.60784781,6519693.0
61,North Carolina-Charlotte,11415 Carolina Place Pkwy,28134,37119,1.0,1.0,1.0,1140943,16569,15048,7365,7683,4333,4518,8851,35,23.56565386,21.99441946,1.571234404,3.868219891,8.41986105,12.28808094,16465809.0
62,Ohio-Springdale,11925 Commons Dr,45246,78078,,,,2320503,14389,27368,21484,5884,2709,5848,8557,-52,194.7270513,192.5513196,2.175731611,13.55138731,-7.701755005,5.849632299,6891883.0
63,Ohio-Cincinnati,4825 Marburg Ave,45209,39061,1.0,1.0,1.0,1585345,13231,19382,14166,5216,2291,5745,8036,-21,108.3028011,102.5852577,5.717543367,10.71916969,-3.566019208,7.15315048,6831400.0
64,Tennessee-Johnson City,3019 Peoples St,37604,94198,1.0,1.0,,2779872,16467,29474,25036,4438,2171,9906,12077,-48,376.3880972,384.2571819,-7.869084677000001,10.88711415,41.54458977,52.4317039,4919406.0
65,Michigan-Kalamazoo,4620 Stadium Dr,49008,26077,1.0,1.0,,265066,386,3010,2209,801,303,-715,-412,-3,11.36393668,8.339845888,3.0240907910000003,1.1439444559999998,-2.699406886,-1.555462429,7788176.0
66,Kentucky-Florence,4874 Houston Rd,41042,42132,1.0,1.0,1.0,692744,4189,8215,5591,2624,547,1034,1581,-16,101.3424184,86.16778263,15.17463573,3.378077765,-13.01059287,-9.632515106,9278258.0
